,yearstart,locationabbr,locationdesc,topic,question,datavalueunit,datavaluetype,datavalue,datavaluefootnote,stratificationcategory1,stratification1,geolocation
238696,2021,OR,Oregon,Disability,Adults with any disability,%,Crude Prevalence,31.5,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
238809,2021,SC,South Carolina,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,34.6,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
238816,2021,PA,Pennsylvania,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,33.3,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
238851,2021,RI,Rhode Island,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,7.5,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
238861,2021,SD,South Dakota,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,23.5,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
238864,2021,PA,Pennsylvania,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,36.8,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
238901,2021,TN,Tennessee,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,77.8,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
238928,2021,PR,Puerto Rico,Disability,Adults with any disability,%,Crude Prevalence,38.7,,Sex,Male,POINT (-66.590149 18.220833)
238941,2021,SD,South Dakota,Disability,Adults with any disability,%,Crude Prevalence,25.7,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
238965,2021,SC,South Carolina,Disability,Adults with any disability,%,Crude Prevalence,29.8,,Sex,Male,POINT (-81.04537120699968 33.998821303000454)
238968,2021,PR,Puerto Rico,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,86.7,,Sex,Female,POINT (-66.590149 18.220833)
238973,2021,SD,South Dakota,Arthritis,Arthritis among adults,%,Crude Prevalence,20.5,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
239010,2021,PR,Puerto Rico,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,36.6,,Sex,Male,POINT (-66.590149 18.220833)
239067,2021,RI,Rhode Island,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,11.3,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
239087,2021,RI,Rhode Island,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,58.0,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
239109,2021,OR,Oregon,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,28.3,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
239143,2021,PA,Pennsylvania,Asthma,Current asthma among adults,%,Crude Prevalence,8.8,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
239178,2021,SD,South Dakota,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,3.8,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
239183,2021,RI,Rhode Island,Alcohol,Alcohol use among high school students,%,Crude Prevalence,15.0,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
239217,2021,SC,South Carolina,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,35.4,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
239275,2021,TX,Texas,Arthritis,Arthritis among adults,%,Crude Prevalence,17.5,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
239337,2021,RI,Rhode Island,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,22.2,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
239340,2021,PR,Puerto Rico,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.9,,Sex,Female,POINT (-66.590149 18.220833)
239365,2021,RI,Rhode Island,Asthma,Current asthma among adults,%,Crude Prevalence,15.7,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
239372,2021,OK,Oklahoma,Disability,Adults with any disability,%,Crude Prevalence,34.1,,Sex,Male,POINT (-97.52107021399968 35.47203135600046)
239442,2021,OR,Oregon,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,62.7,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
239469,2021,TX,Texas,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,37.4,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
239551,2021,TX,Texas,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,32.5,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
239554,2021,TN,Tennessee,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,40.5,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
239605,2021,PR,Puerto Rico,Mental Health,Depression among adults,%,Crude Prevalence,12.6,,Sex,Male,POINT (-66.590149 18.220833)
239623,2021,PA,Pennsylvania,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,25.2,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
239626,2021,SD,South Dakota,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,39.3,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
239740,2021,TN,Tennessee,Diabetes,Diabetes among adults,%,Crude Prevalence,14.3,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
239790,2021,PR,Puerto Rico,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,10.8,,Sex,Female,POINT (-66.590149 18.220833)
239852,2021,OK,Oklahoma,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.0,,Sex,Male,POINT (-97.52107021399968 35.47203135600046)
239853,2021,SD,South Dakota,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,17.0,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
239878,2021,SC,South Carolina,Asthma,Current asthma among adults,%,Crude Prevalence,11.7,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
239885,2021,SC,South Carolina,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,19.7,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
239955,2021,PR,Puerto Rico,Alcohol,Alcohol use among high school students,%,Crude Prevalence,19.2,,Sex,Male,POINT (-66.590149 18.220833)
240018,2021,PA,Pennsylvania,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,30.9,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
240026,2021,PR,Puerto Rico,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,13.3,,Sex,Male,POINT (-66.590149 18.220833)
240052,2021,TX,Texas,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,72.8,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
240097,2021,TN,Tennessee,Mental Health,Depression among adults,%,Crude Prevalence,31.5,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
240111,2022,GA,Georgia,Arthritis,Arthritis among adults,%,Crude Prevalence,20.9,,Sex,Male,POINT (-83.62758034599966 32.83968109300048)
240210,2021,OR,Oregon,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,14.2,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
240217,2021,SC,South Carolina,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,38.2,,Sex,Male,POINT (-81.04537120699968 33.998821303000454)
240237,2021,TN,Tennessee,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,58.7,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
240253,2021,SC,South Carolina,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,13.4,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
240258,2021,SD,South Dakota,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,33.9,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
240297,2021,OR,Oregon,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,32.7,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
240315,2021,SD,South Dakota,Alcohol,Alcohol use among high school students,%,Crude Prevalence,25.7,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
240328,2021,TX,Texas,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,83.2,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
240337,2021,OK,Oklahoma,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,16.8,,Sex,Female,POINT (-97.52107021399968 35.47203135600046)
240342,2021,RI,Rhode Island,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.2,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
240344,2021,PR,Puerto Rico,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,8.8,,Sex,Male,POINT (-66.590149 18.220833)
240448,2021,OK,Oklahoma,Mental Health,Depression among adults,%,Crude Prevalence,31.3,,Sex,Female,POINT (-97.52107021399968 35.47203135600046)
240452,2021,RI,Rhode Island,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,83.9,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
240470,2021,RI,Rhode Island,Arthritis,Arthritis among adults,%,Crude Prevalence,31.6,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
240485,2021,TX,Texas,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,16.3,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
240508,2021,PA,Pennsylvania,Mental Health,Depression among adults,%,Crude Prevalence,14.4,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
240586,2021,TN,Tennessee,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,23.9,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
240666,2021,RI,Rhode Island,Diabetes,Diabetes among adults,%,Crude Prevalence,10.0,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
240749,2021,TN,Tennessee,Mental Health,Depression among adults,%,Crude Prevalence,18.6,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
240758,2021,SC,South Carolina,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,8.3,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
240777,2021,SD,South Dakota,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,14.8,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
240790,2021,TX,Texas,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,18.9,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
240801,2021,SD,South Dakota,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.3,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
240909,2021,PR,Puerto Rico,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,54.0,,Sex,Female,POINT (-66.590149 18.220833)
240941,2021,SD,South Dakota,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,13.8,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
240955,2021,OR,Oregon,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.1,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
240982,2021,TN,Tennessee,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,41.2,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
241021,2021,PA,Pennsylvania,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,62.2,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
241046,2021,PR,Puerto Rico,Alcohol,Alcohol use among high school students,%,Crude Prevalence,21.2,,Sex,Female,POINT (-66.590149 18.220833)
241081,2021,TX,Texas,Mental Health,Depression among adults,%,Crude Prevalence,12.9,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
241146,2021,SD,South Dakota,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,38.4,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
241239,2021,PR,Puerto Rico,Diabetes,Diabetes among adults,%,Crude Prevalence,16.6,,Sex,Male,POINT (-66.590149 18.220833)
241240,2021,PR,Puerto Rico,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,7.9,,Sex,Male,POINT (-66.590149 18.220833)
241244,2021,TN,Tennessee,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,21.0,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
241252,2021,RI,Rhode Island,Mental Health,Depression among adults,%,Crude Prevalence,27.4,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
241275,2021,RI,Rhode Island,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,35.3,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
241320,2021,PA,Pennsylvania,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,22.6,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
241342,2021,PA,Pennsylvania,Disability,Adults with any disability,%,Crude Prevalence,27.4,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
241438,2021,RI,Rhode Island,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,8.9,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
241450,2021,OK,Oklahoma,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,26.8,,Sex,Female,POINT (-97.52107021399968 35.47203135600046)
241478,2021,OR,Oregon,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,8.0,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
241526,2021,OR,Oregon,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,19.4,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
241596,2021,TN,Tennessee,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,9.3,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
241606,2021,PR,Puerto Rico,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.4,,Sex,Male,POINT (-66.590149 18.220833)
241651,2021,PA,Pennsylvania,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,15.3,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
241697,2021,OR,Oregon,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.8,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
241704,2021,TX,Texas,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,35.3,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
241722,2021,TX,Texas,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,10.0,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
241734,2021,RI,Rhode Island,Arthritis,Arthritis among adults,%,Crude Prevalence,25.0,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
241760,2021,TX,Texas,Diabetes,Diabetes among adults,%,Crude Prevalence,10.3,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
241891,2021,PR,Puerto Rico,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,10.7,,Sex,Female,POINT (-66.590149 18.220833)
241911,2021,RI,Rhode Island,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,8.3,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
241919,2021,RI,Rhode Island,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,39.2,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
241921,2021,OR,Oregon,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,13.3,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
241942,2021,TN,Tennessee,Arthritis,Arthritis among adults,%,Crude Prevalence,25.4,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
241975,2021,SC,South Carolina,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,40.6,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
241992,2021,TX,Texas,Disability,Adults with any disability,%,Crude Prevalence,30.7,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
241993,2021,SD,South Dakota,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,66.4,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
242001,2021,RI,Rhode Island,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,35.4,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
242028,2021,SD,South Dakota,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,11.5,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
242047,2021,PA,Pennsylvania,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,12.7,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
242074,2021,TN,Tennessee,Alcohol,Alcohol use among high school students,%,Crude Prevalence,28.1,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
242101,2021,TN,Tennessee,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,9.7,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
242141,2021,SD,South Dakota,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.7,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
242161,2021,OR,Oregon,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,20.5,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
242193,2021,TN,Tennessee,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,18.5,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
242197,2021,PA,Pennsylvania,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.8,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
242215,2021,OR,Oregon,Arthritis,Arthritis among adults,%,Crude Prevalence,19.9,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
242258,2021,SD,South Dakota,Diabetes,Diabetes among adults,%,Crude Prevalence,11.9,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
242268,2021,TX,Texas,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,7.0,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
242315,2021,OR,Oregon,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,59.8,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
242318,2021,PA,Pennsylvania,Diabetes,Diabetes among adults,%,Crude Prevalence,10.0,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
242329,2021,SD,South Dakota,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,73.3,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
242331,2021,RI,Rhode Island,Alcohol,Alcohol use among high school students,%,Crude Prevalence,19.8,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
242358,2021,RI,Rhode Island,Disability,Adults with any disability,%,Crude Prevalence,28.9,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
242407,2021,SD,South Dakota,Asthma,Current asthma among adults,%,Crude Prevalence,7.3,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
242410,2021,OR,Oregon,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,18.7,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
242468,2022,ID,Idaho,Disability,Adults with any disability,%,Crude Prevalence,32.7,,Sex,Female,POINT (-114.3637300419997 43.682630005000476)
242510,2021,RI,Rhode Island,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,32.6,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
242514,2021,SC,South Carolina,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,10.9,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
242554,2021,SC,South Carolina,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,79.4,,Sex,Male,POINT (-81.04537120699968 33.998821303000454)
242575,2021,PA,Pennsylvania,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,83.0,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
242580,2021,SC,South Carolina,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,9.6,,Sex,Male,POINT (-81.04537120699968 33.998821303000454)
242611,2021,SC,South Carolina,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,37.9,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
242735,2021,RI,Rhode Island,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,28.3,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
242756,2021,PA,Pennsylvania,Arthritis,Arthritis among adults,%,Crude Prevalence,32.7,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
242860,2021,TN,Tennessee,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,12.1,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
242868,2021,TN,Tennessee,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,42.4,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
243089,2021,SD,South Dakota,Mental Health,Depression among adults,%,Crude Prevalence,22.4,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
243095,2021,PR,Puerto Rico,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,0.7,,Sex,Female,POINT (-66.590149 18.220833)
243100,2021,PA,Pennsylvania,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.4,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
243124,2021,OK,Oklahoma,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,41.2,,Sex,Female,POINT (-97.52107021399968 35.47203135600046)
243172,2021,PR,Puerto Rico,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,74.7,,Sex,Female,POINT (-66.590149 18.220833)
243244,2021,OR,Oregon,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,43.3,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
243250,2021,SD,South Dakota,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,38.9,,Sex,Male,POINT (-100.3735306369997 44.353130053000484)
243303,2021,TX,Texas,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,43.9,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
243323,2021,RI,Rhode Island,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,27.9,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
243337,2021,RI,Rhode Island,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,20.9,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
243344,2021,PA,Pennsylvania,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.8,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
243366,2021,RI,Rhode Island,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,32.3,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
243369,2021,SC,South Carolina,Mental Health,Depression among adults,%,Crude Prevalence,13.9,,Sex,Male,POINT (-81.04537120699968 33.998821303000454)
243377,2021,PA,Pennsylvania,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,44.7,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
243412,2021,TN,Tennessee,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,48.9,,Sex,Female,POINT (-85.77449091399967 35.68094058000048)
243421,2021,SC,South Carolina,Asthma,Current asthma among adults,%,Crude Prevalence,7.7,,Sex,Male,POINT (-81.04537120699968 33.998821303000454)
243433,2021,TX,Texas,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,18.8,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
243438,2021,OK,Oklahoma,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,17.1,,Sex,Male,POINT (-97.52107021399968 35.47203135600046)
243525,2021,TX,Texas,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,36.2,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
243541,2021,PA,Pennsylvania,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,12.1,,Sex,Female,POINT (-77.86070029399963 40.79373015200048)
243548,2021,SC,South Carolina,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,14.7,,Sex,Female,POINT (-81.04537120699968 33.998821303000454)
243567,2021,PR,Puerto Rico,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,37.8,,Sex,Male,POINT (-66.590149 18.220833)
243579,2021,OR,Oregon,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,11.7,,Sex,Female,POINT (-120.15503132599969 44.56744942400047)
243644,2021,PA,Pennsylvania,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,16.2,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
243705,2021,TN,Tennessee,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,16.5,,Sex,Male,POINT (-85.77449091399967 35.68094058000048)
243797,2021,TX,Texas,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,32.4,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
243989,2021,TX,Texas,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,12.1,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
244002,2021,RI,Rhode Island,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,35.0,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
244039,2021,PA,Pennsylvania,Arthritis,Arthritis among adults,%,Crude Prevalence,24.4,,Sex,Male,POINT (-77.86070029399963 40.79373015200048)
244058,2021,TX,Texas,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,28.2,,Sex,Male,POINT (-99.42677020599967 31.827240407000488)
244063,2021,OR,Oregon,Disability,Adults with any disability,%,Crude Prevalence,27.8,,Sex,Male,POINT (-120.15503132599969 44.56744942400047)
244132,2021,PR,Puerto Rico,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,9.2,,Sex,Male,POINT (-66.590149 18.220833)
244168,2021,SD,South Dakota,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,37.3,,Sex,Female,POINT (-100.3735306369997 44.353130053000484)
244177,2021,RI,Rhode Island,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,8.2,,Sex,Male,POINT (-71.52247031399963 41.70828019300046)
244178,2021,RI,Rhode Island,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,11.3,,Sex,Female,POINT (-71.52247031399963 41.70828019300046)
244205,2021,PR,Puerto Rico,Mental Health,Depression among adults,%,Crude Prevalence,17.7,,Sex,Female,POINT (-66.590149 18.220833)
244235,2021,TX,Texas,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.1,,Sex,Female,POINT (-99.42677020599967 31.827240407000488)
